# Transormacja wspó³rzêdnych geodezyjnych \ Julia Mazurkiewicz \ 01160141@pw.edu.pl
# 
#   X               Y               Z                 f              l              h             n                e                u             x00             y00            x92            y92               Az             el              2D             3D
# 
3664940.500,    1409153.590,    5009571.170,        52.097,        21.032,       141.399,    -386473.463,    -3810101.244,    -1273517.753,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.014,         0.014
3664940.510,    1409153.580,    5009571.167,        52.097,        21.032,       141.400,    -386473.849,    -3810101.426,    -1273517.917,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.014,         0.014
3664940.520,    1409153.570,    5009571.167,        52.097,        21.032,       141.403,    -386474.321,    -3810101.607,    -1273518.087,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.014,         0.014
3664940.530,    1409153.560,    5009571.168,        52.097,        21.032,       141.408,    -386474.822,    -3810101.788,    -1273518.258,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.032,         0.032
3664940.520,    1409153.590,    5009571.170,        52.097,        21.032,       141.410,    -386473.159,    -3810101.360,    -1273517.814,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.008,         0.009
3664940.514,    1409153.584,    5009571.166,        52.097,        21.032,       141.402,    -386473.511,    -3810101.399,    -1273517.871,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.014,         0.014
3664940.525,    1409153.575,    5009571.166,        52.097,        21.032,       141.406,    -386473.905,    -3810101.574,    -1273518.030,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.014,         0.014
3664940.533,    1409153.564,    5009571.169,        52.097,        21.032,       141.411,    -386474.555,    -3810101.756,    -1273518.213,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.032,         0.032
3664940.515,    1409153.590,    5009571.170,        52.097,        21.032,       141.407,    -386473.235,    -3810101.331,    -1273517.799,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.006,         0.006
3664940.514,    1409153.584,    5009571.169,        52.097,        21.032,       141.405,    -386473.596,    -3810101.399,    -1273517.877,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.011,         0.011
3664940.515,    1409153.595,    5009571.169,        52.097,        21.032,       141.408,    -386472.895,    -3810101.269,    -1273517.727,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.011,         0.011
3664940.513,    1409153.584,    5009571.171,        52.097,        21.032,       141.406,    -386473.668,    -3810101.393,    -1273517.878,    5773722.714,    7502160.773,    470125.407,    502159.427,       264.208,       -18.394,         0.000,         0.000
